,county,auto.cbp,auto.cbp.pct,NiCu.Mine.cbp,NiCu.Mine.cbp.pct,CoMn.Mine.cbp,CoMn.Mine.cbp.pct,NiCuCo.Prod.cbp,NiCuCo.Prod.cbp.pct,Li.Prod.cbp,Li.Prod.cbp.pct,Graphite.Prod.cbp,Graphite.Prod.cbp.pct
84,5003,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
85,5005,470.4970005,0.00039517,0,0,0,0,0,0,0,0,0,0
86,5007,881.2940979,0.000740199,0,0,0,0,0,0,0,0,0,0
87,5009,68.93890628,5.79E-05,0,0,0,0,0,0,0,0,0,0
88,5011,0,0,0,0,0,0,0,0,0,0,0,0
89,5013,0,0,0,0,0,0,0,0,0,0,0,0
90,5015,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
91,5017,0,0,0,0,0,0,0,0,0,0,0,0
92,5019,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
93,5021,21.87781256,1.84E-05,0,0,0,0,0,0,0,0,0,0
94,5023,229.7790471,0.000192991,0,0,0,0,0,0,0,0,0,0
95,5025,0,0,0,0,0,0,0,0,0,0,0,0
96,5027,66.89646002,5.62E-05,0,0,0,0,0,0,0,0,0,0
97,5029,21.87781256,1.84E-05,0,0,0,0,0,0,0,0,0,0
98,5031,155.6707326,0.000130748,0,0,0,0,0,0,0,0,0,0
99,5033,31.91184102,2.68E-05,0,0,0,0,0,0,0,0,0,0
100,5035,229.7790471,0.000192991,0,0,0,0,0,0,0,0,0,0
101,5037,20.97293474,1.76E-05,0,0,0,0,0,0,0,0,0,0
102,5039,0,0,0,0,0,0,0,0,0,0,0,0
103,5041,66.89646002,5.62E-05,0,0,0,0,0,0,0,0,0,0
104,5043,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
105,5045,109.7472073,9.22E-05,0,0,0,0,0,0,0,0,0,0
106,5047,0,0,0,0,0,0,0,0,0,0,0,0
107,5049,0,0,0,0,0,0,0,0,0,0,0,0
108,5051,261.6908881,0.000219794,0,0,0,0,0,0,0,0,0,0
109,5053,0,0,0,0,0,0,0,0,0,0,0,0
110,5055,2068.483642,0.00173732,0,0,0,0,0,0,0,0,0,0
111,5057,20.97293474,1.76E-05,0,0,0,0,0,0,0,0,0,0
112,5059,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
113,5061,66.89646002,5.62E-05,0,0,0,0,0,0,0,0,0,0
114,5063,42.8507473,3.60E-05,0,0,0,0,0,0,0,0,0,0
115,5065,0,0,0,0,0,0,0,0,0,0,0,0
116,5067,250.7519818,0.000210607,0,0,0,0,0,0,0,0,0,0
117,5069,494.4093221,0.000415254,0,0,0,0,0,0,0,0,0,0
118,5071,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
119,5073,0,0,0,0,0,0,0,0,0,0,0,0
120,5075,87.86939475,7.38E-05,0,0,0,0,0,0,0,0,0,0
121,5077,0,0,0,0,0,0,0,0,0,0,0,0
122,5079,0,0,0,0,0,0,0,0,0,0,0,0
123,5081,0,0,0,0,0,0,0,0,0,0,0,0
124,5083,0,0,0,0,0,0,0,0,0,0,0,0
125,5085,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
126,5087,0,0,0,0,0,0,0,0,0,0,0,0
127,5089,66.89646002,5.62E-05,0,0,0,0,0,0,0,0,0,0
128,5091,1574.979198,0.001322825,0,0,0,0,0,0,0,0,0,0
129,5093,2068.483642,0.00173732,0,0,0,0,0,0,0,0,0,0
130,5095,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
131,5097,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
132,5099,0,0,0,0,0,0,0,0,0,0,0,0
133,5101,0,0,0,0,0,0,0,0,0,0,0,0
134,5103,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
135,5105,0,0,0,0,0,0,0,0,0,0,0,0
136,5107,0,0,0,0,0,0,0,0,0,0,0,0
137,5109,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
138,5111,20.97293474,1.76E-05,0,0,0,0,0,0,0,0,0,0
139,5113,42.8507473,3.60E-05,0,0,0,0,0,0,0,0,0,0
140,5115,221.6623148,0.000186174,0,0,0,0,0,0,0,0,0,0
141,5117,0,0,0,0,0,0,0,0,0,0,0,0
142,5119,172.6660115,0.000145022,0,0,0,0,0,0,0,0,20.97293474,0.004585016
143,5121,0,0,0,0,0,0,0,0,0,0,0,0
144,5123,0,0,0,0,0,0,0,0,0,0,0,0
145,5125,20.97293474,1.76E-05,0,0,0,0,0,0,0,0,0,0
146,5127,0,0,0,0,0,0,0,0,0,0,0,0
147,5129,20.97293474,1.76E-05,0,0,0,0,0,0,0,0,0,0
148,5131,781.0529894,0.000656007,0,0,0,0,0,0,0,0,0,0
149,5133,0,0,0,0,0,0,0,0,0,0,0,0
150,5135,0,0,0,0,0,0,0,0,0,0,0,0
151,5137,0,0,0,0,0,0,0,0,0,0,0,0
152,5139,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
153,5141,0,0,0,0,0,0,0,0,0,0,0,0
154,5143,614.1905579,0.000515859,0,0,0,0,0,0,0,0,0,0
155,5145,31.91184102,2.68E-05,0,0,0,0,0,0,0,0,0,0
156,5147,20.97293474,1.76E-05,0,0,0,0,0,0,0,0,0,0
157,5149,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
158,6001,17252.87431,0.014490691,0,0,0,0,0,0,0,0,10.93890628,0.002391418
159,6003,0,0,0,0,0,0,0,0,0,0,0,0
160,6005,0,0,0,0,0,0,0,0,0,0,20.97293474,0.004585016
161,6007,58.91184102,4.95E-05,0,0,0,0,0,0,0,0,0,0
162,6009,0,0,0,0,0,0,0,0,0,0,0,0
163,6011,0,0,0,0,0,0,0,0,0,0,0,0
