year,region,season,hour,pollutant,kg.per.mwh,usd.per.mwh.AP3,usd.per.mwh.EASIUR,usd.per.mwh.INMAP
2017,CAMX,Summer,16,pm25,0.068391323,2.107313443,0.982768856,0.437844239
2017,CAMX,Summer,16,so2,0.016404562,0.069488764,0.024516156,0.019989594
2017,CAMX,Summer,17,co2,492.5355762,24.51645084,24.51645084,24.51645084
2017,CAMX,Summer,17,nox,0.112109403,0.086766082,0.033012904,0.076746671
2017,CAMX,Summer,17,pm25,0.074559955,2.351107865,1.158422031,0.502529794
2017,CAMX,Summer,17,so2,0.021436973,0.086868998,0.031086292,0.025425679
2017,CAMX,Summer,18,co2,448.6707159,22.33303355,22.33303355,22.33303355
2017,CAMX,Summer,18,nox,0.111089677,0.166366061,0.05137266,0.077335835
2017,CAMX,Summer,18,pm25,0.062284172,2.133750054,0.926136731,0.411697379
2017,CAMX,Summer,18,so2,0.019105108,0.079408949,0.027881363,0.022642043
2017,CAMX,Summer,19,co2,454.7141757,22.63385281,22.63385281,22.63385281
2017,CAMX,Summer,19,nox,0.150371052,0.360041925,0.066261257,0.104362672
2017,CAMX,Summer,19,pm25,0.05944344,1.80222186,0.726136957,0.326599432
2017,CAMX,Summer,19,so2,0.036928593,0.100895664,0.050390848,0.038844717
2017,CAMX,Summer,20,co2,451.1740966,22.45764183,22.45764183,22.45764183
2017,CAMX,Summer,20,nox,0.174806474,0.626512018,0.106232977,0.121550335
2017,CAMX,Summer,20,pm25,0.06575858,2.373519413,0.854909411,0.384481401
2017,CAMX,Summer,20,so2,0.044441838,0.114086142,0.059908973,0.04594541
2017,CAMX,Summer,21,co2,480.8464065,23.93461073,23.93461073,23.93461073
2017,CAMX,Summer,21,nox,0.122626913,0.452384441,0.072022983,0.084825612
2017,CAMX,Summer,21,pm25,0.077059507,2.605114397,0.935620375,0.438894642
2017,CAMX,Summer,21,so2,0.027091455,0.088513784,0.037571232,0.029334907
2017,CAMX,Summer,22,co2,502.2518859,25.00008987,25.00008987,25.00008987
2017,CAMX,Summer,22,nox,0.069930792,0.099704041,0.015851083,0.04833423
2017,CAMX,Summer,22,pm25,0.075424151,2.90816636,0.994975773,0.453752206
2017,CAMX,Summer,22,so2,0.025428048,0.096824498,0.035864759,0.028509848
2017,CAMX,Summer,23,co2,504.855011,25.12966303,25.12966303,25.12966303
2017,CAMX,Summer,23,nox,0.008140094,0.26216014,0.04506197,0.003317211
2017,CAMX,Summer,23,pm25,0.073029042,2.684216405,1.246773826,0.545911187
2017,CAMX,Summer,23,so2,-0.009634619,0.047511892,-0.008267023,-0.00294754
2017,CAMX,Trans,0,co2,463.7618488,23.08420979,23.08420979,23.08420979
2017,CAMX,Trans,0,nox,-0.02700289,0.263337164,0.043095701,-0.020154787
2017,CAMX,Trans,0,pm25,0.074160548,2.939386326,1.299820124,0.530865956
2017,CAMX,Trans,0,so2,-0.017337832,0.033525558,-0.018199162,-0.010888592
2017,CAMX,Trans,1,co2,472.9047036,23.53930453,23.53930453,23.53930453
2017,CAMX,Trans,1,nox,0.095779911,0.289913438,0.058922936,0.067149054
2017,CAMX,Trans,1,pm25,0.065145405,2.332005124,1.064827602,0.464843747
2017,CAMX,Trans,1,so2,0.014066584,0.070810214,0.021699128,0.01831429
2017,CAMX,Trans,2,co2,456.521426,22.7238105,22.7238105,22.7238105
2017,CAMX,Trans,2,nox,0.191548701,0.362907883,0.112370221,0.133843891
2017,CAMX,Trans,2,pm25,0.057772617,1.683301199,0.744121574,0.332658261
2017,CAMX,Trans,2,so2,0.031919184,0.08702225,0.044102275,0.034394643
2017,CAMX,Trans,3,co2,405.8644455,20.20230864,20.20230864,20.20230864
2017,CAMX,Trans,3,nox,0.127734045,0.243676964,0.08065294,0.088338512
2017,CAMX,Trans,3,pm25,0.04889649,1.144337112,0.549313398,0.258496907
2017,CAMX,Trans,3,so2,0.029886351,0.06774007,0.040874336,0.031507466
2017,CAMX,Trans,4,co2,440.069574,21.90490312,21.90490312,21.90490312
2017,CAMX,Trans,4,nox,0.115536395,0.160153735,0.038576646,0.081044732
2017,CAMX,Trans,4,pm25,0.053361104,1.660518063,0.502882681,0.202976319
2017,CAMX,Trans,4,so2,0.036373265,0.091961566,0.049106465,0.036555956
2017,CAMX,Trans,5,co2,436.0043574,21.70255289,21.70255289,21.70255289
2017,CAMX,Trans,5,nox,0.176243689,0.44637001,0.096559766,0.121715354
2017,CAMX,Trans,5,pm25,0.043353331,1.180423786,0.454496408,0.218875798
2017,CAMX,Trans,5,so2,0.054660827,0.120953433,0.07272873,0.055124598
2017,CAMX,Trans,6,co2,389.3531131,19.38044056,19.38044056,19.38044056
2017,CAMX,Trans,6,nox,0.039124984,0.228099657,0.051006916,0.023522006
2017,CAMX,Trans,6,pm25,0.053678885,1.594965383,0.622810595,0.265319423
2017,CAMX,Trans,6,so2,0.029020683,0.077741587,0.039658936,0.030162579
2017,CAMX,Trans,7,co2,478.1311512,23.79945618,23.79945618,23.79945618
2017,CAMX,Trans,7,nox,0.175897295,0.496677868,0.0915932,0.120156487
2017,CAMX,Trans,7,pm25,0.064964005,1.959688852,0.782344091,0.306876755
2017,CAMX,Trans,7,so2,0.051395639,0.119333577,0.068991915,0.051728141
2017,CAMX,Trans,8,co2,477.6583889,23.77592396,23.77592396,23.77592396
2017,CAMX,Trans,8,nox,0.182188558,0.34278767,0.061195679,0.1282411
2017,CAMX,Trans,8,pm25,0.066468786,2.11859343,0.781513397,0.37290419
2017,CAMX,Trans,8,so2,0.064022781,0.14289596,0.084804449,0.063917427
2017,CAMX,Trans,9,co2,428.7940936,21.3436548,21.3436548,21.3436548
2017,CAMX,Trans,9,nox,0.099911905,0.345350264,0.059031568,0.070223005
2017,CAMX,Trans,9,pm25,0.055188177,2.199352365,0.743128243,0.316049406
2017,CAMX,Trans,9,so2,0.020898261,0.078942184,0.029383394,0.02335758
2017,CAMX,Trans,10,co2,464.6486396,23.12835068,23.12835068,23.12835068
2017,CAMX,Trans,10,nox,0.137225697,0.278456955,0.061046093,0.097088677
2017,CAMX,Trans,10,pm25,0.058676578,1.645922237,0.571138281,0.248958946
2017,CAMX,Trans,10,so2,0.072602023,0.143936096,0.095438633,0.071489891
2017,CAMX,Trans,11,co2,437.7943316,21.79165065,21.79165065,21.79165065
2017,CAMX,Trans,11,nox,0.209052044,-0.031664201,0.019512367,0.148405864
2017,CAMX,Trans,11,pm25,0.051014019,1.036793097,0.39981849,0.194209445
2017,CAMX,Trans,11,so2,0.045495923,0.09302292,0.060425739,0.045806483
2017,CAMX,Trans,12,co2,448.1080594,22.30502676,22.30502676,22.30502676
2017,CAMX,Trans,12,nox,0.011137075,-0.137065085,-0.04099417,0.005276939
2017,CAMX,Trans,12,pm25,0.050329363,1.980235398,0.717715939,0.326563516
2017,CAMX,Trans,12,so2,0.005151103,0.053999549,0.009931105,0.009879782
2017,CAMX,Trans,13,co2,475.8200774,23.68442017,23.68442017,23.68442017
2017,CAMX,Trans,13,nox,0.100150037,0.10645446,0.02635788,0.06839136
2017,CAMX,Trans,13,pm25,0.050399615,2.091782338,0.77007887,0.324819967
2017,CAMX,Trans,13,so2,0.046444034,0.122640451,0.062587458,0.048604423
2017,CAMX,Trans,14,co2,482.1445011,23.99922469,23.99922469,23.99922469
2017,CAMX,Trans,14,nox,0.193819782,0.751803317,0.150553995,0.137174863
2017,CAMX,Trans,14,pm25,0.045563555,1.78986883,0.6433889,0.263477596
2017,CAMX,Trans,14,so2,0.039734572,0.106999021,0.053990975,0.04230875
2017,CAMX,Trans,15,co2,490.9317184,24.43661721,24.43661721,24.43661721
2017,CAMX,Trans,15,nox,0.167813966,0.013859861,0.037992452,0.117475289
2017,CAMX,Trans,15,pm25,0.055518444,2.178183603,0.84169579,0.330401027
2017,CAMX,Trans,15,so2,0.063088258,0.148079476,0.083940598,0.06431475
2017,CAMX,Trans,16,co2,461.2528036,22.95931955,22.95931955,22.95931955
2017,CAMX,Trans,16,nox,0.167640627,0.128672731,0.042017686,0.116947052
2017,CAMX,Trans,16,pm25,0.066413946,2.124270469,0.882606142,0.379344055
2017,CAMX,Trans,16,so2,0.045004996,0.112560663,0.060689497,0.046734884
2017,CAMX,Trans,17,co2,496.5560393,24.71657341,24.71657341,24.71657341
2017,CAMX,Trans,17,nox,0.175928981,0.258735355,0.085603214,0.124398904
2017,CAMX,Trans,17,pm25,0.066879185,1.954524127,0.84824356,0.337237561
